Algorithm,QubitNumber,ExecutionTime,LoadingTime
ae,3,0.004547834396362305,17.90706181526184
ae,5,0.005415916442871094,0.04246807098388672
ae,7,0.00589752197265625,0.049275875091552734
ae,9,0.005761384963989258,0.06798839569091797
ae,11,0.06798839569091797,0.10959625244140625
dj,3,0.0029213428497314453,0.06313419342041016
dj,5,0.0029039382934570312,0.013195991516113281
dj,7,0.004127025604248047,0.009654760360717773
dj,9,0.005151271820068359,0.010410070419311523
dj,11,0.007010936737060547,0.017455101013183594
ghz,3,0.002934694290161133,0.03707766532897949
ghz,5,0.00252532958984375,0.007422685623168945
ghz,7,0.0036046504974365234,0.008956432342529297
ghz,9,0.0036439895629882812,0.009877920150756836
ghz,11,0.004019498825073242,0.009697437286376953
graphstate,3,0.0035533905029296875,0.024718523025512695
graphstate,5,0.00321197509765625,0.015188932418823242
graphstate,7,0.004220724105834961,0.013985872268676758
graphstate,9,0.005199432373046875,0.01388859748840332
graphstate,11,0.0054514408111572266,0.01747870445251465
qaoa,3,0.0034253597259521484,0.6916799545288086
qaoa,5,0.00354766845703125,1.1914944648742676
qaoa,7,0.004866600036621094,2.314913272857666
qaoa,9,0.005011320114135742,6.080780029296875
qaoa,11,0.004876852035522461,8.204222440719604
portfolioqaoa,3,0.003735065460205078,0.42458605766296387
portfolioqaoa,5,0.005753993988037109,0.4578394889831543
portfolioqaoa,7,0.005532741546630859,0.7753870487213135
portfolioqaoa,9,0.006234645843505859,1.5941720008850098
portfolioqaoa,11,0.0059337615966796875,4.3236610889434814
qft,3,0.004087924957275391,0.022365093231201172
qft,5,0.008246898651123047,0.011769294738769531
qft,7,0.0057315826416015625,0.024310827255249023
qft,9,0.022297143936157227,0.005636930465698242 
qft,11,0.009312152862548828,0.03391408920288086
vqe,3,0.004327297210693359,0.3204345703125
vqe,5,0.010596036911010742,1.9640591144561768
vqe,7,0.005860090255737305,2.5041940212249756
vqe,9,0.004868745803833008,5.787815809249878
vqe,11,0.00588679313659668,9.47468900680542
portfoliovqe,3,0.0048754215240478516,0.14350080490112305
portfoliovqe,5,0.005839347839355469,0.2529897689819336 
portfoliovqe,7,0.007488727569580078,0.3345808982849121
portfoliovqe,9,0.00947427749633789,0.5174777507781982 
portfoliovqe,11,0.008583307266235352,0.9138965606689453
qftentangled,3,0.004197835922241211,0.29897618293762207
qftentangled,5,0.0073108673095703125,0.01925206184387207
qftentangled,7,0.006584644317626953,0.015761137008666992
qftentangled,9,0.006028652191162109,0.03127789497375488
qftentangled,11,0.005574703216552734,0.03988361358642578 
qpeexact,3,0.0051958560943603516,0.017436981201171875
qpeexact,5,0.004245281219482422,0.018752336502075195
qpeexact,7,0.006550312042236328,0.020450115203857422
qpeexact,9,0.005770206451416016,0.01840376853942871
qpeexact,11,0.005554676055908203,0.052368879318237305
qpeinexact,3,0.004198312759399414,0.028492212295532227 
qpeinexact,5,0.006203413009643555,0.02741718292236328
qpeinexact,7,0.009169816970825195,0.016876220703125
qpeinexact,9,0.005659818649291992,0.019867897033691406
qpeinexact,11,0.005923032760620117,0.057625770568847656
random,3,0.006766796112060547,0.0919346809387207
random,5,0.00577092170715332,0.03016519546508789
random,7,0.009641408920288086,0.05762481689453125
random,9,0.008794069290161133,0.07245802879333496
random,11,0.009002685546875,0.08045434951782227 
realamprandom,3,0.00307464599609375,0.03899741172790527
realamprandom,5,0.006459712982177734,0.018140554428100586
realamprandom,7,0.005658864974975586,0.021218061447143555
realamprandom,9,0.005603790283203125,0.03511786460876465
realamprandom,11,0.00856161117553711,0.02318882942199707
twolocalrandom,3,0.0033097267150878906,0.016867399215698242
twolocalrandom,5,0.0056760311126708984,0.022466182708740234
twolocalrandom,7,0.006582975387573242,0.026327133178710938
twolocalrandom,9,0.014043569564819336,0.017716169357299805
twolocalrandom,11,0.008668661117553711,0.021848678588867188
qwalk-noancilla,3,0.006501197814941406,0.03354001045227051
qwalk-noancilla,5,0.009993791580200195,0.09085440635681152
qwalk-noancilla,7,0.006402492523193359,0.5048360824584961
qwalk-noancilla,9,0.008038043975830078,1.4060261249542236
qwalk-noancilla,11,0.018505573272705078,2.3573367595672607
wstate,3,0.0048291683197021484,0.03446388244628906
wstate,5,0.005331277847290039,0.015567779541015625
wstate,7,0.004464387893676758,0.011695623397827148
wstate,9,0.00543522834777832,0.011013269424438477
wstate,11,0.005608558654785156,0.010951995849609375
grover-v-chain,3,0.003383636474609375,0.03649544715881348
grover-v-chain,5,0.009399175643920898,0.0751793384552002
grover-v-chain,7,0.0159761905670166,0.29100751876831055
grover-v-chain,9,0.010810613632202148,1.3313822746276855
grover-v-chain,11,0.02410578727722168,3.6775150299072266
qwalk-v-chain,3,0.005729198455810547,0.009763002395629883
qwalk-v-chain,5,0.009082794189453125,0.022683143615722656
qwalk-v-chain,7,0.00884699821472168,0.04342484474182129
qwalk-v-chain,9,0.006690263748168945,0.08570337295532227
qwalk-v-chain,11,0.00579833984375,0.1246647834777832
grover-noancilla,3,0.0030510425567626953,0.022099018096923828
grover-noancilla,5,0.005789995193481445,0.10231518745422363
grover-noancilla,7,0.014069795608520508,0.47825050354003906
grover-noancilla,9,0.008038759231567383,1.8199944496154785
grover-noancilla,11,0.03952145576477051,6.571772575378418
qnn,3,0.004380941390991211,0.09113407135009766
qnn,5,0.008636236190795898,0.041135311126708984
qnn,7,0.00942230224609375,0.051354408264160156
qnn,9,0.009576082229614258,0.06824731826782227
qnn,11,0.009106636047363281,0.10803103446960449
pricingcall,3,0.005904674530029297,0.2539503574371338
pricingcall,5,0.00847172737121582,0.18539714813232422
pricingcall,7,0.006687164306640625,0.37401604652404785
pricingcall,9,0.007376194000244141,0.9906537532806396
